logs/depth.did.Reb1.500K.log.err-1:real	0m29.621s
logs/depth.did.Reb1.500K.log.err-503:real	0m26.130s
logs/depth.did.Reb1.500K.log.err-504:real	0m32.052s
logs/depth.did.Reb1.500K.log.err-505:real	0m26.345s
logs/depth.did.Reb1.500K.log.err-506:real	0m26.142s
logs/depth.did.Reb1.500K.log.err-507:real	0m26.692s
logs/depth.did.Reb1.500K.log.err-508:real	0m26.512s
logs/depth.did.Reb1.500K.log.err-509:real	0m30.328s
logs/depth.did.Reb1.500K.log.err-51:real	0m29.034s
logs/depth.did.Reb1.500K.log.err-510:real	0m26.383s
logs/depth.did.Reb1.500K.log.err-511:real	0m26.293s
logs/depth.did.Reb1.500K.log.err-512:real	0m26.247s
logs/depth.did.Reb1.500K.log.err-513:real	0m28.575s
logs/depth.did.Reb1.500K.log.err-514:real	0m30.966s
logs/depth.did.Reb1.500K.log.err-515:real	0m28.972s
logs/depth.did.Reb1.500K.log.err-516:real	0m28.963s
logs/depth.did.Reb1.500K.log.err-517:real	0m26.014s
logs/depth.did.Reb1.500K.log.err-518:real	0m29.987s
logs/depth.did.Reb1.500K.log.err-519:real	0m25.927s
logs/depth.did.Reb1.500K.log.err-52:real	0m26.158s
logs/depth.did.Reb1.500K.log.err-520:real	0m31.446s
logs/depth.did.Reb1.500K.log.err-521:real	0m29.779s
logs/depth.did.Reb1.500K.log.err-522:real	0m30.196s
logs/depth.did.Reb1.500K.log.err-523:real	0m25.967s
logs/depth.did.Reb1.500K.log.err-524:real	0m30.013s
logs/depth.did.Reb1.500K.log.err-525:real	0m26.793s
logs/depth.did.Reb1.500K.log.err-526:real	0m30.068s
logs/depth.did.Reb1.500K.log.err-527:real	0m25.939s
logs/depth.did.Reb1.500K.log.err-528:real	0m25.912s
logs/depth.did.Reb1.500K.log.err-529:real	0m31.219s
logs/depth.did.Reb1.500K.log.err-53:real	0m29.987s
logs/depth.did.Reb1.500K.log.err-530:real	0m26.130s
logs/depth.did.Reb1.500K.log.err-531:real	0m25.995s
logs/depth.did.Reb1.500K.log.err-532:real	0m30.088s
logs/depth.did.Reb1.500K.log.err-533:real	0m26.048s
logs/depth.did.Reb1.500K.log.err-534:real	0m31.235s
logs/depth.did.Reb1.500K.log.err-535:real	0m29.567s
logs/depth.did.Reb1.500K.log.err-536:real	0m26.235s
logs/depth.did.Reb1.500K.log.err-537:real	0m30.217s
logs/depth.did.Reb1.500K.log.err-538:real	0m25.806s
logs/depth.did.Reb1.500K.log.err-539:real	0m25.934s
logs/depth.did.Reb1.500K.log.err-54:real	0m30.066s
logs/depth.did.Reb1.500K.log.err-540:real	0m26.822s
logs/depth.did.Reb1.500K.log.err-541:real	0m30.119s
logs/depth.did.Reb1.500K.log.err-542:real	0m26.022s
logs/depth.did.Reb1.500K.log.err-543:real	0m25.864s
logs/depth.did.Reb1.500K.log.err-544:real	0m30.736s
logs/depth.did.Reb1.500K.log.err-545:real	0m26.116s
logs/depth.did.Reb1.500K.log.err-546:real	0m26.145s
logs/depth.did.Reb1.500K.log.err-547:real	0m26.265s
logs/depth.did.Reb1.500K.log.err-548:real	0m26.799s
logs/depth.did.Reb1.500K.log.err-549:real	0m30.185s
logs/depth.did.Reb1.500K.log.err-55:real	0m26.838s
logs/depth.did.Reb1.500K.log.err-550:real	0m26.071s
logs/depth.did.Reb1.500K.log.err-551:real	0m26.677s
logs/depth.did.Reb1.500K.log.err-552:real	0m26.129s
logs/depth.did.Reb1.500K.log.err-553:real	0m25.962s
logs/depth.did.Reb1.500K.log.err-554:real	0m30.894s
logs/depth.did.Reb1.500K.log.err-555:real	0m26.098s
logs/depth.did.Reb1.500K.log.err-556:real	0m29.789s
logs/depth.did.Reb1.500K.log.err-557:real	0m25.939s
logs/depth.did.Reb1.500K.log.err-558:real	0m31.407s
logs/depth.did.Reb1.500K.log.err-559:real	0m29.836s
logs/depth.did.Reb1.500K.log.err-56:real	0m30.712s
logs/depth.did.Reb1.500K.log.err-560:real	0m26.132s
logs/depth.did.Reb1.500K.log.err-561:real	0m30.254s
logs/depth.did.Reb1.500K.log.err-562:real	0m25.939s
logs/depth.did.Reb1.500K.log.err-563:real	0m26.259s
logs/depth.did.Reb1.500K.log.err-564:real	0m26.765s
logs/depth.did.Reb1.500K.log.err-565:real	0m30.051s
logs/depth.did.Reb1.500K.log.err-566:real	0m30.216s
logs/depth.did.Reb1.500K.log.err-567:real	0m25.960s
logs/depth.did.Reb1.500K.log.err-568:real	0m25.906s
logs/depth.did.Reb1.500K.log.err-569:real	0m25.914s
logs/depth.did.Reb1.500K.log.err-57:real	0m30.038s
logs/depth.did.Reb1.500K.log.err-570:real	0m26.636s
logs/depth.did.Reb1.500K.log.err-571:real	0m30.104s
logs/depth.did.Reb1.500K.log.err-572:real	0m25.872s
logs/depth.did.Reb1.500K.log.err-573:real	0m26.045s
logs/depth.did.Reb1.500K.log.err-574:real	0m26.155s
logs/depth.did.Reb1.500K.log.err-575:real	0m26.231s
logs/depth.did.Reb1.500K.log.err-576:real	0m30.659s
logs/depth.did.Reb1.500K.log.err-577:real	0m26.364s
logs/depth.did.Reb1.500K.log.err-578:real	0m26.907s
logs/depth.did.Reb1.500K.log.err-579:real	0m26.044s
logs/depth.did.Reb1.500K.log.err-58:real	0m31.795s
logs/depth.did.Reb1.500K.log.err-580:real	0m31.628s
logs/depth.did.Reb1.500K.log.err-581:real	0m26.063s
logs/depth.did.Reb1.500K.log.err-582:real	0m30.962s
logs/depth.did.Reb1.500K.log.err-583:real	0m29.485s
logs/depth.did.Reb1.500K.log.err-584:real	0m25.939s
logs/depth.did.Reb1.500K.log.err-585:real	0m29.984s
logs/depth.did.Reb1.500K.log.err-586:real	0m26.003s
logs/depth.did.Reb1.500K.log.err-587:real	0m25.998s
logs/depth.did.Reb1.500K.log.err-588:real	0m26.864s
logs/depth.did.Reb1.500K.log.err-589:real	0m30.183s
logs/depth.did.Reb1.500K.log.err-59:real	0m26.024s
logs/depth.did.Reb1.500K.log.err-590:real	0m32.294s
logs/depth.did.Reb1.500K.log.err-591:real	0m26.957s
logs/depth.did.Reb1.500K.log.err-592:real	0m30.120s
logs/depth.did.Reb1.500K.log.err-593:real	0m26.159s
logs/depth.did.Reb1.500K.log.err-594:real	0m26.055s
logs/depth.did.Reb1.500K.log.err-595:real	0m30.507s
logs/depth.did.Reb1.500K.log.err-596:real	0m26.190s
logs/depth.did.Reb1.500K.log.err-597:real	0m26.644s
logs/depth.did.Reb1.500K.log.err-598:real	0m26.137s
logs/depth.did.Reb1.500K.log.err-599:real	0m26.938s
logs/depth.did.Reb1.500K.log.err-6:real	0m30.285s
logs/depth.did.Reb1.500K.log.err-60:real	0m26.167s
logs/depth.did.Reb1.500K.log.err-600:real	0m26.815s
logs/depth.did.Reb1.500K.log.err-601:real	0m27.315s
logs/depth.did.Reb1.500K.log.err-602:real	0m30.027s
logs/depth.did.Reb1.500K.log.err-603:real	0m26.031s
logs/depth.did.Reb1.500K.log.err-604:real	0m29.931s
logs/depth.did.Reb1.500K.log.err-605:real	0m26.026s
logs/depth.did.Reb1.500K.log.err-606:real	0m31.199s
logs/depth.did.Reb1.500K.log.err-607:real	0m29.970s
logs/depth.did.Reb1.500K.log.err-608:real	0m26.277s
logs/depth.did.Reb1.500K.log.err-609:real	0m30.025s
logs/depth.did.Reb1.500K.log.err-61:real	0m31.840s
logs/depth.did.Reb1.500K.log.err-610:real	0m25.869s
logs/depth.did.Reb1.500K.log.err-611:real	0m25.994s
logs/depth.did.Reb1.500K.log.err-612:real	0m26.739s
logs/depth.did.Reb1.500K.log.err-613:real	0m30.130s
logs/depth.did.Reb1.500K.log.err-614:real	0m31.160s
logs/depth.did.Reb1.500K.log.err-615:real	0m26.826s
logs/depth.did.Reb1.500K.log.err-616:real	0m30.119s
logs/depth.did.Reb1.500K.log.err-617:real	0m26.042s
logs/depth.did.Reb1.500K.log.err-618:real	0m26.057s
logs/depth.did.Reb1.500K.log.err-619:real	0m30.711s
logs/depth.did.Reb1.500K.log.err-62:real	0m31.258s
logs/depth.did.Reb1.500K.log.err-620:real	0m26.020s
logs/depth.did.Reb1.500K.log.err-621:real	0m30.167s
logs/depth.did.Reb1.500K.log.err-622:real	0m26.183s
logs/depth.did.Reb1.500K.log.err-623:real	0m26.163s
logs/depth.did.Reb1.500K.log.err-624:real	0m30.417s
logs/depth.did.Reb1.500K.log.err-625:real	0m26.078s
logs/depth.did.Reb1.500K.log.err-626:real	0m31.356s
logs/depth.did.Reb1.500K.log.err-627:real	0m29.323s
logs/depth.did.Reb1.500K.log.err-628:real	0m31.558s
logs/depth.did.Reb1.500K.log.err-629:real	0m25.963s
logs/depth.did.Reb1.500K.log.err-63:real	0m26.996s
logs/depth.did.Reb1.500K.log.err-630:real	0m26.219s
logs/depth.did.Reb1.500K.log.err-631:real	0m26.912s
logs/depth.did.Reb1.500K.log.err-632:real	0m29.980s
logs/depth.did.Reb1.500K.log.err-633:real	0m26.098s
logs/depth.did.Reb1.500K.log.err-634:real	0m30.101s
logs/depth.did.Reb1.500K.log.err-635:real	0m26.178s
logs/depth.did.Reb1.500K.log.err-636:real	0m26.137s
logs/depth.did.Reb1.500K.log.err-637:real	0m26.314s
logs/depth.did.Reb1.500K.log.err-638:real	0m26.988s
logs/depth.did.Reb1.500K.log.err-639:real	0m30.031s
logs/depth.did.Reb1.500K.log.err-64:real	0m26.824s
logs/depth.did.Reb1.500K.log.err-640:real	0m26.007s
logs/depth.did.Reb1.500K.log.err-641:real	0m26.227s
logs/depth.did.Reb1.500K.log.err-642:real	0m26.369s
logs/depth.did.Reb1.500K.log.err-643:real	0m26.100s
logs/depth.did.Reb1.500K.log.err-644:real	0m30.679s
logs/depth.did.Reb1.500K.log.err-645:real	0m30.108s
logs/depth.did.Reb1.500K.log.err-646:real	0m30.072s
logs/depth.did.Reb1.500K.log.err-647:real	0m25.917s
logs/depth.did.Reb1.500K.log.err-648:real	0m26.110s
logs/depth.did.Reb1.500K.log.err-649:real	0m30.237s
logs/depth.did.Reb1.500K.log.err-65:real	0m32.560s
logs/depth.did.Reb1.500K.log.err-650:real	0m25.918s
logs/depth.did.Reb1.500K.log.err-651:real	0m31.566s
logs/depth.did.Reb1.500K.log.err-652:real	0m29.026s
logs/depth.did.Reb1.500K.log.err-653:real	0m29.797s
logs/depth.did.Reb1.500K.log.err-654:real	0m26.167s
logs/depth.did.Reb1.500K.log.err-655:real	0m26.087s
logs/depth.did.Reb1.500K.log.err-656:real	0m26.780s
logs/depth.did.Reb1.500K.log.err-657:real	0m30.061s
logs/depth.did.Reb1.500K.log.err-658:real	0m26.028s
logs/depth.did.Reb1.500K.log.err-659:real	0m29.927s
logs/depth.did.Reb1.500K.log.err-66:real	0m26.132s
logs/depth.did.Reb1.500K.log.err-660:real	0m25.997s
logs/depth.did.Reb1.500K.log.err-661:real	0m26.001s
logs/depth.did.Reb1.500K.log.err-662:real	0m25.877s
logs/depth.did.Reb1.500K.log.err-663:real	0m26.535s
logs/depth.did.Reb1.500K.log.err-664:real	0m30.078s
logs/depth.did.Reb1.500K.log.err-665:real	0m25.964s
logs/depth.did.Reb1.500K.log.err-666:real	0m26.122s
logs/depth.did.Reb1.500K.log.err-667:real	0m25.891s
logs/depth.did.Reb1.500K.log.err-668:real	0m26.144s
logs/depth.did.Reb1.500K.log.err-669:real	0m30.376s
logs/depth.did.Reb1.500K.log.err-67:real	0m28.144s
logs/depth.did.Reb1.500K.log.err-670:real	0m29.975s
logs/depth.did.Reb1.500K.log.err-671:real	0m25.981s
logs/depth.did.Reb1.500K.log.err-672:real	0m26.059s
logs/depth.did.Reb1.500K.log.err-673:real	0m30.332s
logs/depth.did.Reb1.500K.log.err-674:real	0m26.068s
logs/depth.did.Reb1.500K.log.err-675:real	0m31.529s
logs/depth.did.Reb1.500K.log.err-676:real	0m28.447s
logs/depth.did.Reb1.500K.log.err-677:real	0m29.582s
logs/depth.did.Reb1.500K.log.err-678:real	0m26.109s
logs/depth.did.Reb1.500K.log.err-679:real	0m26.034s
logs/depth.did.Reb1.500K.log.err-68:real	0m30.217s
logs/depth.did.Reb1.500K.log.err-680:real	0m26.671s
logs/depth.did.Reb1.500K.log.err-681:real	0m30.043s
logs/depth.did.Reb1.500K.log.err-682:real	0m25.949s
logs/depth.did.Reb1.500K.log.err-683:real	0m26.098s
logs/depth.did.Reb1.500K.log.err-684:real	0m29.843s
logs/depth.did.Reb1.500K.log.err-685:real	0m26.016s
logs/depth.did.Reb1.500K.log.err-686:real	0m25.943s
logs/depth.did.Reb1.500K.log.err-687:real	0m25.873s
logs/depth.did.Reb1.500K.log.err-688:real	0m26.537s
logs/depth.did.Reb1.500K.log.err-689:real	0m30.105s
logs/depth.did.Reb1.500K.log.err-69:real	0m26.052s
logs/depth.did.Reb1.500K.log.err-690:real	0m25.846s
logs/depth.did.Reb1.500K.log.err-691:real	0m25.901s
logs/depth.did.Reb1.500K.log.err-692:real	0m26.006s
logs/depth.did.Reb1.500K.log.err-693:real	0m29.760s
logs/depth.did.Reb1.500K.log.err-694:real	0m29.892s
logs/depth.did.Reb1.500K.log.err-695:real	0m26.017s
logs/depth.did.Reb1.500K.log.err-696:real	0m30.636s
logs/depth.did.Reb1.500K.log.err-697:real	0m25.817s
logs/depth.did.Reb1.500K.log.err-698:real	0m31.626s
logs/depth.did.Reb1.500K.log.err-699:real	0m31.819s
logs/depth.did.Reb1.500K.log.err-7:real	0m26.999s
logs/depth.did.Reb1.500K.log.err-70:real	0m26.050s
logs/depth.did.Reb1.500K.log.err-700:real	0m25.965s
logs/depth.did.Reb1.500K.log.err-701:real	0m26.773s
logs/depth.did.Reb1.500K.log.err-702:real	0m30.186s
logs/depth.did.Reb1.500K.log.err-703:real	0m30.059s
logs/depth.did.Reb1.500K.log.err-704:real	0m25.984s
logs/depth.did.Reb1.500K.log.err-705:real	0m25.917s
logs/depth.did.Reb1.500K.log.err-706:real	0m26.044s
logs/depth.did.Reb1.500K.log.err-707:real	0m26.524s
logs/depth.did.Reb1.500K.log.err-708:real	0m30.108s
logs/depth.did.Reb1.500K.log.err-709:real	0m26.024s
logs/depth.did.Reb1.500K.log.err-71:real	0m26.152s
logs/depth.did.Reb1.500K.log.err-710:real	0m26.158s
logs/depth.did.Reb1.500K.log.err-711:real	0m29.479s
logs/depth.did.Reb1.500K.log.err-712:real	0m30.092s
logs/depth.did.Reb1.500K.log.err-713:real	0m26.024s
logs/depth.did.Reb1.500K.log.err-714:real	0m30.353s
logs/depth.did.Reb1.500K.log.err-715:real	0m26.020s
logs/depth.did.Reb1.500K.log.err-716:real	0m30.669s
logs/depth.did.Reb1.500K.log.err-717:real	0m30.016s
logs/depth.did.Reb1.500K.log.err-718:real	0m25.998s
logs/depth.did.Reb1.500K.log.err-719:real	0m27.089s
logs/depth.did.Reb1.500K.log.err-72:real	0m26.169s
logs/depth.did.Reb1.500K.log.err-720:real	0m30.695s
logs/depth.did.Reb1.500K.log.err-721:real	0m30.075s
logs/depth.did.Reb1.500K.log.err-722:real	0m26.153s
logs/depth.did.Reb1.500K.log.err-723:real	0m26.090s
logs/depth.did.Reb1.500K.log.err-724:real	0m26.235s
logs/depth.did.Reb1.500K.log.err-725:real	0m26.921s
logs/depth.did.Reb1.500K.log.err-726:real	0m30.012s
logs/depth.did.Reb1.500K.log.err-727:real	0m26.303s
logs/depth.did.Reb1.500K.log.err-728:real	0m26.413s
logs/depth.did.Reb1.500K.log.err-729:real	0m26.125s
logs/depth.did.Reb1.500K.log.err-73:real	0m29.023s
logs/depth.did.Reb1.500K.log.err-730:real	0m26.047s
logs/depth.did.Reb1.500K.log.err-731:real	0m30.836s
logs/depth.did.Reb1.500K.log.err-732:real	0m26.252s
logs/depth.did.Reb1.500K.log.err-733:real	0m26.872s
logs/depth.did.Reb1.500K.log.err-734:real	0m26.215s
logs/depth.did.Reb1.500K.log.err-735:real	0m29.551s
logs/depth.did.Reb1.500K.log.err-736:real	0m30.117s
logs/depth.did.Reb1.500K.log.err-737:real	0m26.088s
logs/depth.did.Reb1.500K.log.err-738:real	0m30.232s
logs/depth.did.Reb1.500K.log.err-739:real	0m26.227s
logs/depth.did.Reb1.500K.log.err-74:real	0m30.361s
logs/depth.did.Reb1.500K.log.err-740:real	0m31.127s
logs/depth.did.Reb1.500K.log.err-741:real	0m29.773s
logs/depth.did.Reb1.500K.log.err-742:real	0m26.077s
logs/depth.did.Reb1.500K.log.err-743:real	0m26.585s
logs/depth.did.Reb1.500K.log.err-744:real	0m30.124s
logs/depth.did.Reb1.500K.log.err-745:real	0m31.553s
logs/depth.did.Reb1.500K.log.err-746:real	0m25.938s
logs/depth.did.Reb1.500K.log.err-747:real	0m25.827s
logs/depth.did.Reb1.500K.log.err-748:real	0m25.966s
logs/depth.did.Reb1.500K.log.err-749:real	0m26.775s
logs/depth.did.Reb1.500K.log.err-75:real	0m29.305s
logs/depth.did.Reb1.500K.log.err-750:real	0m30.218s
logs/depth.did.Reb1.500K.log.err-751:real	0m25.936s
logs/depth.did.Reb1.500K.log.err-752:real	0m26.375s
logs/depth.did.Reb1.500K.log.err-753:real	0m26.117s
logs/depth.did.Reb1.500K.log.err-754:real	0m26.041s
logs/depth.did.Reb1.500K.log.err-755:real	0m30.643s
logs/depth.did.Reb1.500K.log.err-756:real	0m26.214s
logs/depth.did.Reb1.500K.log.err-757:real	0m26.648s
logs/depth.did.Reb1.500K.log.err-758:real	0m26.141s
logs/depth.did.Reb1.500K.log.err-759:real	0m29.724s
logs/depth.did.Reb1.500K.log.err-76:real	0m26.404s
logs/depth.did.Reb1.500K.log.err-760:real	0m30.096s
logs/depth.did.Reb1.500K.log.err-761:real	0m26.054s
logs/depth.did.Reb1.500K.log.err-762:real	0m30.199s
logs/depth.did.Reb1.500K.log.err-763:real	0m26.071s
logs/depth.did.Reb1.500K.log.err-764:real	0m31.410s
logs/depth.did.Reb1.500K.log.err-765:real	0m32.140s
logs/depth.did.Reb1.500K.log.err-766:real	0m26.010s
logs/depth.did.Reb1.500K.log.err-767:real	0m26.742s
logs/depth.did.Reb1.500K.log.err-768:real	0m29.951s
logs/depth.did.Reb1.500K.log.err-769:real	0m31.504s
logs/depth.did.Reb1.500K.log.err-77:real	0m30.070s
logs/depth.did.Reb1.500K.log.err-770:real	0m25.941s
logs/depth.did.Reb1.500K.log.err-771:real	0m26.140s
logs/depth.did.Reb1.500K.log.err-772:real	0m25.976s
logs/depth.did.Reb1.500K.log.err-773:real	0m26.722s
logs/depth.did.Reb1.500K.log.err-774:real	0m30.054s
logs/depth.did.Reb1.500K.log.err-775:real	0m26.152s
logs/depth.did.Reb1.500K.log.err-776:real	0m26.373s
logs/depth.did.Reb1.500K.log.err-777:real	0m26.093s
logs/depth.did.Reb1.500K.log.err-778:real	0m26.065s
logs/depth.did.Reb1.500K.log.err-779:real	0m30.480s
logs/depth.did.Reb1.500K.log.err-78:real	0m30.075s
logs/depth.did.Reb1.500K.log.err-780:real	0m26.021s
logs/depth.did.Reb1.500K.log.err-781:real	0m26.802s
logs/depth.did.Reb1.500K.log.err-782:real	0m26.190s
logs/depth.did.Reb1.500K.log.err-783:real	0m29.969s
logs/depth.did.Reb1.500K.log.err-784:real	0m30.214s
logs/depth.did.Reb1.500K.log.err-785:real	0m26.052s
logs/depth.did.Reb1.500K.log.err-786:real	0m30.339s
logs/depth.did.Reb1.500K.log.err-787:real	0m26.107s
logs/depth.did.Reb1.500K.log.err-788:real	0m31.891s
logs/depth.did.Reb1.500K.log.err-789:real	0m32.138s
logs/depth.did.Reb1.500K.log.err-79:real	0m26.642s
logs/depth.did.Reb1.500K.log.err-790:real	0m26.244s
logs/depth.did.Reb1.500K.log.err-791:real	0m26.623s
logs/depth.did.Reb1.500K.log.err-792:real	0m30.012s
logs/depth.did.Reb1.500K.log.err-793:real	0m31.712s
logs/depth.did.Reb1.500K.log.err-794:real	0m25.869s
logs/depth.did.Reb1.500K.log.err-795:real	0m26.001s
logs/depth.did.Reb1.500K.log.err-796:real	0m26.166s
logs/depth.did.Reb1.500K.log.err-797:real	0m26.898s
logs/depth.did.Reb1.500K.log.err-798:real	0m30.277s
logs/depth.did.Reb1.500K.log.err-799:real	0m26.016s
logs/depth.did.Reb1.500K.log.err-8:real	0m30.856s
logs/depth.did.Reb1.500K.log.err-80:real	0m30.639s
logs/depth.did.Reb1.500K.log.err-800:real	0m25.952s
logs/depth.did.Reb1.500K.log.err-801:real	0m29.774s
logs/depth.did.Reb1.500K.log.err-802:real	0m29.961s
logs/depth.did.Reb1.500K.log.err-803:real	0m26.232s
logs/depth.did.Reb1.500K.log.err-804:real	0m30.143s
logs/depth.did.Reb1.500K.log.err-805:real	0m26.005s
logs/depth.did.Reb1.500K.log.err-806:real	0m31.324s
logs/depth.did.Reb1.500K.log.err-807:real	0m30.106s
logs/depth.did.Reb1.500K.log.err-808:real	0m25.974s
logs/depth.did.Reb1.500K.log.err-809:real	0m26.766s
logs/depth.did.Reb1.500K.log.err-81:real	0m30.116s
logs/depth.did.Reb1.500K.log.err-810:real	0m30.214s
logs/depth.did.Reb1.500K.log.err-811:real	0m30.306s
logs/depth.did.Reb1.500K.log.err-812:real	0m26.068s
logs/depth.did.Reb1.500K.log.err-813:real	0m25.981s
logs/depth.did.Reb1.500K.log.err-814:real	0m26.936s
logs/depth.did.Reb1.500K.log.err-815:real	0m30.091s
logs/depth.did.Reb1.500K.log.err-816:real	0m26.201s
logs/depth.did.Reb1.500K.log.err-817:real	0m26.562s
logs/depth.did.Reb1.500K.log.err-818:real	0m26.270s
logs/depth.did.Reb1.500K.log.err-819:real	0m26.067s
logs/depth.did.Reb1.500K.log.err-82:real	0m30.289s
logs/depth.did.Reb1.500K.log.err-820:real	0m31.047s
logs/depth.did.Reb1.500K.log.err-821:real	0m26.236s
logs/depth.did.Reb1.500K.log.err-822:real	0m27.147s
logs/depth.did.Reb1.500K.log.err-823:real	0m26.037s
logs/depth.did.Reb1.500K.log.err-824:real	0m26.946s
logs/depth.did.Reb1.500K.log.err-825:real	0m29.892s
logs/depth.did.Reb1.500K.log.err-826:real	0m30.921s
logs/depth.did.Reb1.500K.log.err-827:real	0m25.954s
logs/depth.did.Reb1.500K.log.err-828:real	0m31.367s
logs/depth.did.Reb1.500K.log.err-829:real	0m30.214s
logs/depth.did.Reb1.500K.log.err-83:real	0m25.953s
logs/depth.did.Reb1.500K.log.err-830:real	0m26.119s
logs/depth.did.Reb1.500K.log.err-831:real	0m26.770s
logs/depth.did.Reb1.500K.log.err-832:real	0m30.256s
logs/depth.did.Reb1.500K.log.err-833:real	0m29.892s
logs/depth.did.Reb1.500K.log.err-834:real	0m26.022s
logs/depth.did.Reb1.500K.log.err-835:real	0m25.972s
logs/depth.did.Reb1.500K.log.err-836:real	0m26.746s
logs/depth.did.Reb1.500K.log.err-837:real	0m30.201s
logs/depth.did.Reb1.500K.log.err-838:real	0m26.037s
logs/depth.did.Reb1.500K.log.err-839:real	0m25.999s
logs/depth.did.Reb1.500K.log.err-84:real	0m25.968s
logs/depth.did.Reb1.500K.log.err-840:real	0m26.076s
logs/depth.did.Reb1.500K.log.err-841:real	0m26.055s
logs/depth.did.Reb1.500K.log.err-842:real	0m30.729s
logs/depth.did.Reb1.500K.log.err-843:real	0m26.308s
logs/depth.did.Reb1.500K.log.err-844:real	0m26.637s
logs/depth.did.Reb1.500K.log.err-845:real	0m26.185s
logs/depth.did.Reb1.500K.log.err-846:real	0m26.906s
logs/depth.did.Reb1.500K.log.err-847:real	0m26.877s
logs/depth.did.Reb1.500K.log.err-848:real	0m27.018s
logs/depth.did.Reb1.500K.log.err-849:real	0m26.694s
logs/depth.did.Reb1.500K.log.err-85:real	0m31.828s
logs/depth.did.Reb1.500K.log.err-850:real	0m30.095s
logs/depth.did.Reb1.500K.log.err-851:real	0m30.111s
logs/depth.did.Reb1.500K.log.err-852:real	0m25.913s
logs/depth.did.Reb1.500K.log.err-853:real	0m26.060s
logs/depth.did.Reb1.500K.log.err-854:real	0m26.586s
logs/depth.did.Reb1.500K.log.err-855:real	0m30.110s
logs/depth.did.Reb1.500K.log.err-856:real	0m25.953s
logs/depth.did.Reb1.500K.log.err-857:real	0m26.352s
logs/depth.did.Reb1.500K.log.err-858:real	0m26.124s
logs/depth.did.Reb1.500K.log.err-859:real	0m30.907s
logs/depth.did.Reb1.500K.log.err-86:real	0m29.837s
logs/depth.did.Reb1.500K.log.err-860:real	0m26.044s
logs/depth.did.Reb1.500K.log.err-861:real	0m26.627s
logs/depth.did.Reb1.500K.log.err-862:real	0m26.165s
logs/depth.did.Reb1.500K.log.err-863:real	0m26.659s
logs/depth.did.Reb1.500K.log.err-864:real	0m26.714s
logs/depth.did.Reb1.500K.log.err-865:real	0m26.682s
logs/depth.did.Reb1.500K.log.err-866:real	0m31.263s
logs/depth.did.Reb1.500K.log.err-867:real	0m26.924s
logs/depth.did.Reb1.500K.log.err-868:real	0m26.831s
logs/depth.did.Reb1.500K.log.err-869:real	0m26.559s
logs/depth.did.Reb1.500K.log.err-87:real	0m27.482s
logs/depth.did.Reb1.500K.log.err-870:real	0m27.656s
logs/depth.did.Reb1.500K.log.err-871:real	0m26.492s
logs/depth.did.Reb1.500K.log.err-872:real	0m26.588s
logs/depth.did.Reb1.500K.log.err-873:real	0m30.067s
logs/depth.did.Reb1.500K.log.err-874:real	0m31.666s
logs/depth.did.Reb1.500K.log.err-875:real	0m26.113s
logs/depth.did.Reb1.500K.log.err-876:real	0m25.961s
logs/depth.did.Reb1.500K.log.err-877:real	0m26.149s
logs/depth.did.Reb1.500K.log.err-878:real	0m26.693s
logs/depth.did.Reb1.500K.log.err-879:real	0m30.087s
logs/depth.did.Reb1.500K.log.err-88:real	0m26.463s
logs/depth.did.Reb1.500K.log.err-880:real	0m25.947s
logs/depth.did.Reb1.500K.log.err-881:real	0m26.264s
logs/depth.did.Reb1.500K.log.err-882:real	0m25.992s
logs/depth.did.Reb1.500K.log.err-883:real	0m26.044s
logs/depth.did.Reb1.500K.log.err-884:real	0m31.044s
logs/depth.did.Reb1.500K.log.err-885:real	0m26.444s
logs/depth.did.Reb1.500K.log.err-886:real	0m26.631s
logs/depth.did.Reb1.500K.log.err-887:real	0m26.215s
logs/depth.did.Reb1.500K.log.err-888:real	0m26.478s
logs/depth.did.Reb1.500K.log.err-889:real	0m26.731s
logs/depth.did.Reb1.500K.log.err-89:real	0m32.161s
logs/depth.did.Reb1.500K.log.err-890:real	0m26.973s
logs/depth.did.Reb1.500K.log.err-891:real	0m26.449s
logs/depth.did.Reb1.500K.log.err-892:real	0m30.073s
logs/depth.did.Reb1.500K.log.err-893:real	0m26.183s
logs/depth.did.Reb1.500K.log.err-894:real	0m31.395s
logs/depth.did.Reb1.500K.log.err-895:real	0m29.524s
logs/depth.did.Reb1.500K.log.err-896:real	0m31.650s
logs/depth.did.Reb1.500K.log.err-897:real	0m26.090s
logs/depth.did.Reb1.500K.log.err-898:real	0m30.101s
logs/depth.did.Reb1.500K.log.err-899:real	0m28.646s
logs/depth.did.Reb1.500K.log.err-9:real	0m30.327s
logs/depth.did.Reb1.500K.log.err-90:real	0m26.057s
logs/depth.did.Reb1.500K.log.err-900:real	1m11.242s
logs/depth.did.Reb1.500K.log.err-901:real	0m26.793s
logs/depth.did.Reb1.500K.log.err-902:real	0m30.120s
logs/depth.did.Reb1.500K.log.err-903:real	0m26.471s
logs/depth.did.Reb1.500K.log.err-904:real	0m30.065s
logs/depth.did.Reb1.500K.log.err-905:real	0m26.822s
logs/depth.did.Reb1.500K.log.err-906:real	0m30.060s
logs/depth.did.Reb1.500K.log.err-907:real	0m26.193s
logs/depth.did.Reb1.500K.log.err-908:real	0m27.162s
