logs/depth.did.Rap1.4M.log.err-1:real	0m43.912s
logs/depth.did.Rap1.4M.log.err-503:real	0m38.724s
logs/depth.did.Rap1.4M.log.err-504:real	0m39.572s
logs/depth.did.Rap1.4M.log.err-505:real	0m45.258s
logs/depth.did.Rap1.4M.log.err-506:real	0m38.834s
logs/depth.did.Rap1.4M.log.err-507:real	0m44.882s
logs/depth.did.Rap1.4M.log.err-508:real	0m45.668s
logs/depth.did.Rap1.4M.log.err-509:real	0m38.832s
logs/depth.did.Rap1.4M.log.err-51:real	0m47.997s
logs/depth.did.Rap1.4M.log.err-510:real	0m39.306s
logs/depth.did.Rap1.4M.log.err-511:real	0m38.940s
logs/depth.did.Rap1.4M.log.err-512:real	0m39.095s
logs/depth.did.Rap1.4M.log.err-513:real	0m39.727s
logs/depth.did.Rap1.4M.log.err-514:real	0m39.251s
logs/depth.did.Rap1.4M.log.err-515:real	0m39.752s
logs/depth.did.Rap1.4M.log.err-516:real	0m44.507s
logs/depth.did.Rap1.4M.log.err-517:real	0m45.060s
logs/depth.did.Rap1.4M.log.err-518:real	0m39.018s
logs/depth.did.Rap1.4M.log.err-519:real	0m46.959s
logs/depth.did.Rap1.4M.log.err-52:real	0m38.799s
logs/depth.did.Rap1.4M.log.err-520:real	0m39.325s
logs/depth.did.Rap1.4M.log.err-521:real	0m38.562s
logs/depth.did.Rap1.4M.log.err-522:real	0m45.092s
logs/depth.did.Rap1.4M.log.err-523:real	0m40.755s
logs/depth.did.Rap1.4M.log.err-524:real	0m39.697s
logs/depth.did.Rap1.4M.log.err-525:real	0m38.932s
logs/depth.did.Rap1.4M.log.err-526:real	0m43.730s
logs/depth.did.Rap1.4M.log.err-527:real	0m45.837s
logs/depth.did.Rap1.4M.log.err-528:real	0m38.968s
logs/depth.did.Rap1.4M.log.err-529:real	0m39.409s
logs/depth.did.Rap1.4M.log.err-53:real	0m45.177s
logs/depth.did.Rap1.4M.log.err-530:real	0m39.304s
logs/depth.did.Rap1.4M.log.err-531:real	0m46.149s
logs/depth.did.Rap1.4M.log.err-532:real	0m39.117s
logs/depth.did.Rap1.4M.log.err-533:real	0m44.731s
logs/depth.did.Rap1.4M.log.err-534:real	0m44.932s
logs/depth.did.Rap1.4M.log.err-535:real	0m41.599s
logs/depth.did.Rap1.4M.log.err-536:real	0m39.872s
logs/depth.did.Rap1.4M.log.err-537:real	0m39.269s
logs/depth.did.Rap1.4M.log.err-538:real	0m39.915s
logs/depth.did.Rap1.4M.log.err-539:real	0m39.542s
logs/depth.did.Rap1.4M.log.err-54:real	0m38.553s
logs/depth.did.Rap1.4M.log.err-540:real	0m44.874s
logs/depth.did.Rap1.4M.log.err-541:real	0m44.805s
logs/depth.did.Rap1.4M.log.err-542:real	0m44.948s
logs/depth.did.Rap1.4M.log.err-543:real	0m39.242s
logs/depth.did.Rap1.4M.log.err-544:real	0m46.514s
logs/depth.did.Rap1.4M.log.err-545:real	0m39.588s
logs/depth.did.Rap1.4M.log.err-546:real	0m39.795s
logs/depth.did.Rap1.4M.log.err-547:real	0m44.867s
logs/depth.did.Rap1.4M.log.err-548:real	0m40.547s
logs/depth.did.Rap1.4M.log.err-549:real	0m38.908s
logs/depth.did.Rap1.4M.log.err-55:real	0m40.035s
logs/depth.did.Rap1.4M.log.err-550:real	0m38.979s
logs/depth.did.Rap1.4M.log.err-551:real	0m43.786s
logs/depth.did.Rap1.4M.log.err-552:real	0m45.612s
logs/depth.did.Rap1.4M.log.err-553:real	0m38.598s
logs/depth.did.Rap1.4M.log.err-554:real	0m38.761s
logs/depth.did.Rap1.4M.log.err-555:real	0m40.001s
logs/depth.did.Rap1.4M.log.err-556:real	0m45.458s
logs/depth.did.Rap1.4M.log.err-557:real	0m39.401s
logs/depth.did.Rap1.4M.log.err-558:real	0m44.613s
logs/depth.did.Rap1.4M.log.err-559:real	0m45.094s
logs/depth.did.Rap1.4M.log.err-56:real	0m38.842s
logs/depth.did.Rap1.4M.log.err-560:real	0m39.372s
logs/depth.did.Rap1.4M.log.err-561:real	0m39.690s
logs/depth.did.Rap1.4M.log.err-562:real	0m39.055s
logs/depth.did.Rap1.4M.log.err-563:real	0m39.090s
logs/depth.did.Rap1.4M.log.err-564:real	0m44.670s
logs/depth.did.Rap1.4M.log.err-565:real	0m44.661s
logs/depth.did.Rap1.4M.log.err-566:real	0m39.052s
logs/depth.did.Rap1.4M.log.err-567:real	0m45.298s
logs/depth.did.Rap1.4M.log.err-568:real	0m46.755s
logs/depth.did.Rap1.4M.log.err-569:real	0m44.656s
logs/depth.did.Rap1.4M.log.err-57:real	0m39.321s
logs/depth.did.Rap1.4M.log.err-570:real	0m41.079s
logs/depth.did.Rap1.4M.log.err-571:real	0m39.244s
logs/depth.did.Rap1.4M.log.err-572:real	0m44.632s
logs/depth.did.Rap1.4M.log.err-573:real	0m45.733s
logs/depth.did.Rap1.4M.log.err-574:real	0m39.388s
logs/depth.did.Rap1.4M.log.err-575:real	0m45.201s
logs/depth.did.Rap1.4M.log.err-576:real	0m39.471s
logs/depth.did.Rap1.4M.log.err-577:real	0m45.791s
logs/depth.did.Rap1.4M.log.err-578:real	0m45.568s
logs/depth.did.Rap1.4M.log.err-579:real	0m39.229s
logs/depth.did.Rap1.4M.log.err-58:real	0m42.090s
logs/depth.did.Rap1.4M.log.err-580:real	0m39.205s
logs/depth.did.Rap1.4M.log.err-581:real	0m39.547s
logs/depth.did.Rap1.4M.log.err-582:real	0m39.014s
logs/depth.did.Rap1.4M.log.err-583:real	0m39.548s
logs/depth.did.Rap1.4M.log.err-584:real	0m39.669s
logs/depth.did.Rap1.4M.log.err-585:real	0m38.966s
logs/depth.did.Rap1.4M.log.err-586:real	0m39.241s
logs/depth.did.Rap1.4M.log.err-587:real	0m38.766s
logs/depth.did.Rap1.4M.log.err-588:real	0m44.773s
logs/depth.did.Rap1.4M.log.err-589:real	0m45.339s
logs/depth.did.Rap1.4M.log.err-59:real	0m46.671s
logs/depth.did.Rap1.4M.log.err-590:real	0m38.700s
logs/depth.did.Rap1.4M.log.err-591:real	0m45.275s
logs/depth.did.Rap1.4M.log.err-592:real	0m46.239s
logs/depth.did.Rap1.4M.log.err-593:real	0m45.022s
logs/depth.did.Rap1.4M.log.err-594:real	0m40.648s
logs/depth.did.Rap1.4M.log.err-595:real	0m39.523s
logs/depth.did.Rap1.4M.log.err-596:real	0m44.515s
logs/depth.did.Rap1.4M.log.err-597:real	0m46.127s
logs/depth.did.Rap1.4M.log.err-598:real	0m39.251s
logs/depth.did.Rap1.4M.log.err-599:real	0m39.651s
logs/depth.did.Rap1.4M.log.err-6:real	0m44.692s
logs/depth.did.Rap1.4M.log.err-60:real	0m46.203s
logs/depth.did.Rap1.4M.log.err-600:real	0m39.381s
logs/depth.did.Rap1.4M.log.err-601:real	0m39.623s
logs/depth.did.Rap1.4M.log.err-602:real	0m47.542s
logs/depth.did.Rap1.4M.log.err-603:real	0m44.868s
logs/depth.did.Rap1.4M.log.err-604:real	0m44.872s
logs/depth.did.Rap1.4M.log.err-605:real	0m39.004s
logs/depth.did.Rap1.4M.log.err-606:real	0m46.787s
logs/depth.did.Rap1.4M.log.err-607:real	0m46.067s
logs/depth.did.Rap1.4M.log.err-608:real	0m44.827s
logs/depth.did.Rap1.4M.log.err-609:real	0m41.310s
logs/depth.did.Rap1.4M.log.err-61:real	0m44.555s
logs/depth.did.Rap1.4M.log.err-610:real	0m38.661s
logs/depth.did.Rap1.4M.log.err-611:real	0m40.359s
logs/depth.did.Rap1.4M.log.err-612:real	0m44.973s
logs/depth.did.Rap1.4M.log.err-613:real	0m38.989s
logs/depth.did.Rap1.4M.log.err-614:real	0m44.778s
logs/depth.did.Rap1.4M.log.err-615:real	0m45.114s
logs/depth.did.Rap1.4M.log.err-616:real	0m38.909s
logs/depth.did.Rap1.4M.log.err-617:real	0m38.781s
logs/depth.did.Rap1.4M.log.err-618:real	0m39.717s
logs/depth.did.Rap1.4M.log.err-619:real	0m39.335s
logs/depth.did.Rap1.4M.log.err-62:real	0m42.504s
logs/depth.did.Rap1.4M.log.err-620:real	0m39.513s
logs/depth.did.Rap1.4M.log.err-621:real	0m39.300s
logs/depth.did.Rap1.4M.log.err-622:real	0m39.466s
logs/depth.did.Rap1.4M.log.err-623:real	0m39.298s
logs/depth.did.Rap1.4M.log.err-624:real	0m44.678s
logs/depth.did.Rap1.4M.log.err-625:real	0m44.665s
logs/depth.did.Rap1.4M.log.err-626:real	0m38.850s
logs/depth.did.Rap1.4M.log.err-627:real	0m45.136s
logs/depth.did.Rap1.4M.log.err-628:real	0m46.152s
logs/depth.did.Rap1.4M.log.err-629:real	0m45.265s
logs/depth.did.Rap1.4M.log.err-63:real	0m39.262s
logs/depth.did.Rap1.4M.log.err-630:real	0m41.019s
logs/depth.did.Rap1.4M.log.err-631:real	0m38.851s
logs/depth.did.Rap1.4M.log.err-632:real	0m44.176s
logs/depth.did.Rap1.4M.log.err-633:real	0m45.686s
logs/depth.did.Rap1.4M.log.err-634:real	0m39.615s
logs/depth.did.Rap1.4M.log.err-635:real	0m39.197s
logs/depth.did.Rap1.4M.log.err-636:real	0m39.129s
logs/depth.did.Rap1.4M.log.err-637:real	0m39.534s
logs/depth.did.Rap1.4M.log.err-638:real	0m38.920s
logs/depth.did.Rap1.4M.log.err-639:real	0m39.660s
logs/depth.did.Rap1.4M.log.err-64:real	0m39.708s
logs/depth.did.Rap1.4M.log.err-640:real	0m39.963s
logs/depth.did.Rap1.4M.log.err-641:real	0m39.338s
logs/depth.did.Rap1.4M.log.err-642:real	0m45.224s
logs/depth.did.Rap1.4M.log.err-643:real	0m44.734s
logs/depth.did.Rap1.4M.log.err-644:real	0m39.034s
logs/depth.did.Rap1.4M.log.err-645:real	0m45.360s
logs/depth.did.Rap1.4M.log.err-646:real	0m46.572s
logs/depth.did.Rap1.4M.log.err-647:real	0m44.827s
logs/depth.did.Rap1.4M.log.err-648:real	0m40.800s
logs/depth.did.Rap1.4M.log.err-649:real	0m38.938s
logs/depth.did.Rap1.4M.log.err-65:real	0m40.352s
logs/depth.did.Rap1.4M.log.err-650:real	0m44.091s
logs/depth.did.Rap1.4M.log.err-651:real	0m45.645s
logs/depth.did.Rap1.4M.log.err-652:real	0m39.254s
logs/depth.did.Rap1.4M.log.err-653:real	0m45.063s
logs/depth.did.Rap1.4M.log.err-654:real	0m38.780s
logs/depth.did.Rap1.4M.log.err-655:real	0m44.700s
logs/depth.did.Rap1.4M.log.err-656:real	0m45.007s
logs/depth.did.Rap1.4M.log.err-657:real	0m39.008s
logs/depth.did.Rap1.4M.log.err-658:real	0m38.918s
logs/depth.did.Rap1.4M.log.err-659:real	0m39.290s
logs/depth.did.Rap1.4M.log.err-66:real	0m45.048s
logs/depth.did.Rap1.4M.log.err-660:real	0m40.082s
logs/depth.did.Rap1.4M.log.err-661:real	0m39.699s
logs/depth.did.Rap1.4M.log.err-662:real	0m39.542s
logs/depth.did.Rap1.4M.log.err-663:real	0m40.030s
logs/depth.did.Rap1.4M.log.err-664:real	0m39.239s
logs/depth.did.Rap1.4M.log.err-665:real	0m39.812s
logs/depth.did.Rap1.4M.log.err-666:real	0m44.573s
logs/depth.did.Rap1.4M.log.err-667:real	0m44.917s
logs/depth.did.Rap1.4M.log.err-668:real	0m38.782s
logs/depth.did.Rap1.4M.log.err-669:real	0m44.846s
logs/depth.did.Rap1.4M.log.err-67:real	0m43.628s
logs/depth.did.Rap1.4M.log.err-670:real	0m46.253s
logs/depth.did.Rap1.4M.log.err-671:real	0m44.977s
logs/depth.did.Rap1.4M.log.err-672:real	0m40.756s
logs/depth.did.Rap1.4M.log.err-673:real	0m38.932s
logs/depth.did.Rap1.4M.log.err-674:real	0m43.794s
logs/depth.did.Rap1.4M.log.err-675:real	0m46.563s
logs/depth.did.Rap1.4M.log.err-676:real	0m39.478s
logs/depth.did.Rap1.4M.log.err-677:real	0m44.679s
logs/depth.did.Rap1.4M.log.err-678:real	0m38.764s
logs/depth.did.Rap1.4M.log.err-679:real	0m44.891s
logs/depth.did.Rap1.4M.log.err-68:real	0m38.602s
logs/depth.did.Rap1.4M.log.err-680:real	0m45.072s
logs/depth.did.Rap1.4M.log.err-681:real	0m39.269s
logs/depth.did.Rap1.4M.log.err-682:real	0m39.652s
logs/depth.did.Rap1.4M.log.err-683:real	0m38.652s
logs/depth.did.Rap1.4M.log.err-684:real	0m39.921s
logs/depth.did.Rap1.4M.log.err-685:real	0m39.424s
logs/depth.did.Rap1.4M.log.err-686:real	0m39.252s
logs/depth.did.Rap1.4M.log.err-687:real	0m38.980s
logs/depth.did.Rap1.4M.log.err-688:real	0m40.676s
logs/depth.did.Rap1.4M.log.err-689:real	0m44.521s
logs/depth.did.Rap1.4M.log.err-69:real	0m40.408s
logs/depth.did.Rap1.4M.log.err-690:real	0m44.998s
logs/depth.did.Rap1.4M.log.err-691:real	0m40.501s
logs/depth.did.Rap1.4M.log.err-692:real	0m45.136s
logs/depth.did.Rap1.4M.log.err-693:real	0m46.033s
logs/depth.did.Rap1.4M.log.err-694:real	0m45.236s
logs/depth.did.Rap1.4M.log.err-695:real	0m40.168s
logs/depth.did.Rap1.4M.log.err-696:real	0m38.629s
logs/depth.did.Rap1.4M.log.err-697:real	0m44.881s
logs/depth.did.Rap1.4M.log.err-698:real	0m45.530s
logs/depth.did.Rap1.4M.log.err-699:real	0m39.601s
logs/depth.did.Rap1.4M.log.err-7:real	0m38.760s
logs/depth.did.Rap1.4M.log.err-70:real	0m45.215s
logs/depth.did.Rap1.4M.log.err-700:real	0m44.998s
logs/depth.did.Rap1.4M.log.err-701:real	0m38.852s
logs/depth.did.Rap1.4M.log.err-702:real	0m38.824s
logs/depth.did.Rap1.4M.log.err-703:real	0m40.319s
logs/depth.did.Rap1.4M.log.err-704:real	0m39.925s
logs/depth.did.Rap1.4M.log.err-705:real	0m39.878s
logs/depth.did.Rap1.4M.log.err-706:real	0m44.740s
logs/depth.did.Rap1.4M.log.err-707:real	0m44.753s
logs/depth.did.Rap1.4M.log.err-708:real	0m39.142s
logs/depth.did.Rap1.4M.log.err-709:real	0m45.141s
logs/depth.did.Rap1.4M.log.err-71:real	0m38.694s
logs/depth.did.Rap1.4M.log.err-710:real	0m45.970s
logs/depth.did.Rap1.4M.log.err-711:real	0m44.679s
logs/depth.did.Rap1.4M.log.err-712:real	0m41.743s
logs/depth.did.Rap1.4M.log.err-713:real	0m39.598s
logs/depth.did.Rap1.4M.log.err-714:real	0m44.740s
logs/depth.did.Rap1.4M.log.err-715:real	0m45.801s
logs/depth.did.Rap1.4M.log.err-716:real	0m39.496s
logs/depth.did.Rap1.4M.log.err-717:real	0m45.071s
logs/depth.did.Rap1.4M.log.err-718:real	0m38.996s
logs/depth.did.Rap1.4M.log.err-719:real	0m45.072s
logs/depth.did.Rap1.4M.log.err-72:real	0m40.061s
logs/depth.did.Rap1.4M.log.err-720:real	0m45.212s
logs/depth.did.Rap1.4M.log.err-721:real	0m39.697s
logs/depth.did.Rap1.4M.log.err-722:real	0m39.835s
logs/depth.did.Rap1.4M.log.err-723:real	0m39.354s
logs/depth.did.Rap1.4M.log.err-724:real	0m39.347s
logs/depth.did.Rap1.4M.log.err-725:real	0m39.541s
logs/depth.did.Rap1.4M.log.err-726:real	0m38.839s
logs/depth.did.Rap1.4M.log.err-727:real	0m39.427s
logs/depth.did.Rap1.4M.log.err-728:real	0m39.567s
logs/depth.did.Rap1.4M.log.err-729:real	1m39.139s
logs/depth.did.Rap1.4M.log.err-73:real	0m41.732s
logs/depth.did.Rap1.4M.log.err-730:real	0m39.822s
logs/depth.did.Rap1.4M.log.err-731:real	0m45.092s
logs/depth.did.Rap1.4M.log.err-732:real	0m44.980s
logs/depth.did.Rap1.4M.log.err-733:real	0m39.281s
logs/depth.did.Rap1.4M.log.err-734:real	0m44.974s
logs/depth.did.Rap1.4M.log.err-735:real	0m46.036s
logs/depth.did.Rap1.4M.log.err-736:real	0m44.916s
logs/depth.did.Rap1.4M.log.err-737:real	0m41.531s
logs/depth.did.Rap1.4M.log.err-738:real	0m39.660s
logs/depth.did.Rap1.4M.log.err-739:real	0m44.261s
logs/depth.did.Rap1.4M.log.err-74:real	0m46.326s
logs/depth.did.Rap1.4M.log.err-740:real	0m39.238s
logs/depth.did.Rap1.4M.log.err-741:real	0m39.168s
logs/depth.did.Rap1.4M.log.err-742:real	0m39.404s
logs/depth.did.Rap1.4M.log.err-743:real	0m39.048s
logs/depth.did.Rap1.4M.log.err-744:real	0m39.117s
logs/depth.did.Rap1.4M.log.err-745:real	0m39.111s
logs/depth.did.Rap1.4M.log.err-746:real	0m40.228s
logs/depth.did.Rap1.4M.log.err-747:real	0m44.763s
logs/depth.did.Rap1.4M.log.err-748:real	0m45.640s
logs/depth.did.Rap1.4M.log.err-749:real	0m39.475s
logs/depth.did.Rap1.4M.log.err-75:real	0m45.254s
logs/depth.did.Rap1.4M.log.err-750:real	0m45.424s
logs/depth.did.Rap1.4M.log.err-751:real	0m45.950s
logs/depth.did.Rap1.4M.log.err-752:real	0m44.949s
logs/depth.did.Rap1.4M.log.err-753:real	0m41.016s
logs/depth.did.Rap1.4M.log.err-754:real	0m38.795s
logs/depth.did.Rap1.4M.log.err-755:real	0m44.074s
logs/depth.did.Rap1.4M.log.err-756:real	0m45.786s
logs/depth.did.Rap1.4M.log.err-757:real	0m39.507s
logs/depth.did.Rap1.4M.log.err-758:real	0m45.511s
logs/depth.did.Rap1.4M.log.err-759:real	0m39.425s
logs/depth.did.Rap1.4M.log.err-76:real	0m44.302s
logs/depth.did.Rap1.4M.log.err-760:real	0m44.911s
logs/depth.did.Rap1.4M.log.err-761:real	0m45.012s
logs/depth.did.Rap1.4M.log.err-762:real	0m39.735s
logs/depth.did.Rap1.4M.log.err-763:real	0m40.447s
logs/depth.did.Rap1.4M.log.err-764:real	0m39.070s
logs/depth.did.Rap1.4M.log.err-765:real	0m39.433s
logs/depth.did.Rap1.4M.log.err-766:real	0m39.370s
logs/depth.did.Rap1.4M.log.err-767:real	0m40.188s
logs/depth.did.Rap1.4M.log.err-768:real	0m39.508s
logs/depth.did.Rap1.4M.log.err-769:real	0m41.252s
logs/depth.did.Rap1.4M.log.err-77:real	0m42.906s
logs/depth.did.Rap1.4M.log.err-770:real	0m44.780s
logs/depth.did.Rap1.4M.log.err-771:real	0m45.368s
logs/depth.did.Rap1.4M.log.err-772:real	0m38.751s
logs/depth.did.Rap1.4M.log.err-773:real	0m45.417s
logs/depth.did.Rap1.4M.log.err-774:real	0m46.099s
logs/depth.did.Rap1.4M.log.err-775:real	0m44.960s
logs/depth.did.Rap1.4M.log.err-776:real	0m40.805s
logs/depth.did.Rap1.4M.log.err-777:real	0m39.007s
logs/depth.did.Rap1.4M.log.err-778:real	0m43.794s
logs/depth.did.Rap1.4M.log.err-779:real	0m39.721s
logs/depth.did.Rap1.4M.log.err-78:real	0m38.855s
logs/depth.did.Rap1.4M.log.err-780:real	0m38.612s
logs/depth.did.Rap1.4M.log.err-781:real	0m39.642s
logs/depth.did.Rap1.4M.log.err-782:real	0m40.216s
logs/depth.did.Rap1.4M.log.err-783:real	0m44.720s
logs/depth.did.Rap1.4M.log.err-784:real	0m44.928s
logs/depth.did.Rap1.4M.log.err-785:real	0m39.069s
logs/depth.did.Rap1.4M.log.err-786:real	0m45.367s
logs/depth.did.Rap1.4M.log.err-787:real	0m46.007s
logs/depth.did.Rap1.4M.log.err-788:real	0m44.644s
logs/depth.did.Rap1.4M.log.err-789:real	0m41.006s
logs/depth.did.Rap1.4M.log.err-79:real	0m41.942s
logs/depth.did.Rap1.4M.log.err-790:real	0m39.426s
logs/depth.did.Rap1.4M.log.err-791:real	0m44.244s
logs/depth.did.Rap1.4M.log.err-792:real	0m45.618s
logs/depth.did.Rap1.4M.log.err-793:real	0m39.818s
logs/depth.did.Rap1.4M.log.err-794:real	0m44.723s
logs/depth.did.Rap1.4M.log.err-795:real	0m39.066s
logs/depth.did.Rap1.4M.log.err-796:real	0m45.045s
logs/depth.did.Rap1.4M.log.err-797:real	0m44.967s
logs/depth.did.Rap1.4M.log.err-798:real	0m38.949s
logs/depth.did.Rap1.4M.log.err-799:real	0m39.078s
logs/depth.did.Rap1.4M.log.err-8:real	0m38.892s
logs/depth.did.Rap1.4M.log.err-80:real	0m41.081s
logs/depth.did.Rap1.4M.log.err-800:real	0m39.444s
logs/depth.did.Rap1.4M.log.err-801:real	0m39.868s
logs/depth.did.Rap1.4M.log.err-802:real	0m39.480s
logs/depth.did.Rap1.4M.log.err-803:real	0m39.418s
logs/depth.did.Rap1.4M.log.err-804:real	0m39.079s
logs/depth.did.Rap1.4M.log.err-805:real	0m39.396s
logs/depth.did.Rap1.4M.log.err-806:real	0m41.002s
logs/depth.did.Rap1.4M.log.err-807:real	0m44.834s
logs/depth.did.Rap1.4M.log.err-808:real	0m45.132s
logs/depth.did.Rap1.4M.log.err-809:real	0m39.240s
logs/depth.did.Rap1.4M.log.err-81:real	0m45.979s
logs/depth.did.Rap1.4M.log.err-810:real	0m44.929s
logs/depth.did.Rap1.4M.log.err-811:real	0m45.752s
logs/depth.did.Rap1.4M.log.err-812:real	0m44.771s
logs/depth.did.Rap1.4M.log.err-813:real	0m40.454s
logs/depth.did.Rap1.4M.log.err-814:real	0m38.745s
logs/depth.did.Rap1.4M.log.err-815:real	0m43.851s
logs/depth.did.Rap1.4M.log.err-816:real	0m45.818s
logs/depth.did.Rap1.4M.log.err-817:real	0m39.546s
logs/depth.did.Rap1.4M.log.err-818:real	0m45.234s
logs/depth.did.Rap1.4M.log.err-819:real	0m38.762s
logs/depth.did.Rap1.4M.log.err-82:real	0m46.450s
logs/depth.did.Rap1.4M.log.err-820:real	0m45.173s
logs/depth.did.Rap1.4M.log.err-821:real	0m45.347s
logs/depth.did.Rap1.4M.log.err-822:real	0m38.874s
logs/depth.did.Rap1.4M.log.err-823:real	0m39.920s
logs/depth.did.Rap1.4M.log.err-824:real	0m39.229s
logs/depth.did.Rap1.4M.log.err-825:real	0m39.255s
logs/depth.did.Rap1.4M.log.err-826:real	0m39.247s
logs/depth.did.Rap1.4M.log.err-827:real	0m39.698s
logs/depth.did.Rap1.4M.log.err-828:real	0m39.321s
logs/depth.did.Rap1.4M.log.err-829:real	0m39.398s
logs/depth.did.Rap1.4M.log.err-83:real	0m44.318s
logs/depth.did.Rap1.4M.log.err-830:real	0m45.153s
logs/depth.did.Rap1.4M.log.err-831:real	0m41.912s
logs/depth.did.Rap1.4M.log.err-832:real	0m44.932s
logs/depth.did.Rap1.4M.log.err-833:real	0m45.111s
logs/depth.did.Rap1.4M.log.err-834:real	0m38.894s
logs/depth.did.Rap1.4M.log.err-835:real	0m45.244s
logs/depth.did.Rap1.4M.log.err-836:real	0m45.817s
logs/depth.did.Rap1.4M.log.err-837:real	0m45.395s
logs/depth.did.Rap1.4M.log.err-838:real	0m45.252s
logs/depth.did.Rap1.4M.log.err-839:real	0m41.054s
logs/depth.did.Rap1.4M.log.err-84:real	0m43.486s
logs/depth.did.Rap1.4M.log.err-840:real	0m39.299s
logs/depth.did.Rap1.4M.log.err-841:real	0m44.552s
logs/depth.did.Rap1.4M.log.err-842:real	0m45.639s
logs/depth.did.Rap1.4M.log.err-843:real	0m39.309s
logs/depth.did.Rap1.4M.log.err-844:real	0m45.280s
logs/depth.did.Rap1.4M.log.err-845:real	0m38.916s
logs/depth.did.Rap1.4M.log.err-846:real	0m44.863s
logs/depth.did.Rap1.4M.log.err-847:real	0m44.913s
logs/depth.did.Rap1.4M.log.err-848:real	0m39.293s
logs/depth.did.Rap1.4M.log.err-849:real	0m38.954s
logs/depth.did.Rap1.4M.log.err-85:real	0m39.315s
logs/depth.did.Rap1.4M.log.err-850:real	0m39.440s
logs/depth.did.Rap1.4M.log.err-851:real	0m39.435s
logs/depth.did.Rap1.4M.log.err-852:real	0m39.349s
logs/depth.did.Rap1.4M.log.err-853:real	0m39.882s
logs/depth.did.Rap1.4M.log.err-854:real	0m45.244s
logs/depth.did.Rap1.4M.log.err-855:real	0m41.796s
logs/depth.did.Rap1.4M.log.err-856:real	0m44.651s
logs/depth.did.Rap1.4M.log.err-857:real	0m44.848s
logs/depth.did.Rap1.4M.log.err-858:real	0m39.241s
logs/depth.did.Rap1.4M.log.err-859:real	0m45.157s
logs/depth.did.Rap1.4M.log.err-86:real	0m41.141s
logs/depth.did.Rap1.4M.log.err-860:real	0m45.896s
logs/depth.did.Rap1.4M.log.err-861:real	0m45.150s
logs/depth.did.Rap1.4M.log.err-862:real	0m44.930s
logs/depth.did.Rap1.4M.log.err-863:real	0m40.610s
logs/depth.did.Rap1.4M.log.err-864:real	0m38.847s
logs/depth.did.Rap1.4M.log.err-865:real	0m44.495s
logs/depth.did.Rap1.4M.log.err-866:real	0m45.906s
logs/depth.did.Rap1.4M.log.err-867:real	0m39.285s
logs/depth.did.Rap1.4M.log.err-868:real	0m45.832s
logs/depth.did.Rap1.4M.log.err-869:real	0m38.981s
logs/depth.did.Rap1.4M.log.err-87:real	0m41.127s
logs/depth.did.Rap1.4M.log.err-870:real	0m44.793s
logs/depth.did.Rap1.4M.log.err-871:real	0m45.063s
logs/depth.did.Rap1.4M.log.err-872:real	0m39.339s
logs/depth.did.Rap1.4M.log.err-873:real	0m39.623s
logs/depth.did.Rap1.4M.log.err-874:real	0m39.387s
logs/depth.did.Rap1.4M.log.err-875:real	0m39.714s
logs/depth.did.Rap1.4M.log.err-876:real	0m39.181s
logs/depth.did.Rap1.4M.log.err-877:real	0m39.383s
logs/depth.did.Rap1.4M.log.err-878:real	0m44.975s
logs/depth.did.Rap1.4M.log.err-879:real	0m42.279s
logs/depth.did.Rap1.4M.log.err-88:real	0m44.683s
logs/depth.did.Rap1.4M.log.err-880:real	0m44.825s
logs/depth.did.Rap1.4M.log.err-881:real	0m44.629s
logs/depth.did.Rap1.4M.log.err-882:real	0m38.836s
logs/depth.did.Rap1.4M.log.err-883:real	0m45.363s
logs/depth.did.Rap1.4M.log.err-884:real	0m46.317s
logs/depth.did.Rap1.4M.log.err-885:real	0m45.538s
logs/depth.did.Rap1.4M.log.err-886:real	0m45.600s
logs/depth.did.Rap1.4M.log.err-887:real	0m40.993s
logs/depth.did.Rap1.4M.log.err-888:real	0m38.981s
logs/depth.did.Rap1.4M.log.err-889:real	0m44.448s
logs/depth.did.Rap1.4M.log.err-89:real	0m43.427s
logs/depth.did.Rap1.4M.log.err-890:real	0m39.956s
logs/depth.did.Rap1.4M.log.err-891:real	0m39.001s
logs/depth.did.Rap1.4M.log.err-892:real	0m38.892s
logs/depth.did.Rap1.4M.log.err-893:real	0m39.002s
logs/depth.did.Rap1.4M.log.err-894:real	0m44.875s
logs/depth.did.Rap1.4M.log.err-895:real	0m41.853s
logs/depth.did.Rap1.4M.log.err-896:real	0m44.722s
logs/depth.did.Rap1.4M.log.err-897:real	0m44.887s
logs/depth.did.Rap1.4M.log.err-898:real	0m39.109s
logs/depth.did.Rap1.4M.log.err-899:real	0m45.230s
logs/depth.did.Rap1.4M.log.err-9:real	0m38.923s
logs/depth.did.Rap1.4M.log.err-90:real	0m38.847s
logs/depth.did.Rap1.4M.log.err-900:real	0m45.980s
logs/depth.did.Rap1.4M.log.err-901:real	0m45.640s
logs/depth.did.Rap1.4M.log.err-902:real	0m44.851s
logs/depth.did.Rap1.4M.log.err-903:real	0m40.701s
logs/depth.did.Rap1.4M.log.err-904:real	0m39.042s
logs/depth.did.Rap1.4M.log.err-905:real	0m44.319s
logs/depth.did.Rap1.4M.log.err-906:real	0m45.486s
logs/depth.did.Rap1.4M.log.err-907:real	0m39.317s
logs/depth.did.Rap1.4M.log.err-908:real	0m45.021s
